2026-05-02 19:27:44.802 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-05-02 19:27:44.855 INFO  c.gestion.eventos.api.ApiApplication - Starting ApiApplication using Java 21 with PID 14972 (G:\Mi unidad\Cursos\springboot\12-api\target\classes started by dgarm in G:\Mi unidad\Cursos\springboot\12-api)
2026-05-02 19:27:44.855 DEBUG c.gestion.eventos.api.ApiApplication - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-05-02 19:27:44.856 INFO  c.gestion.eventos.api.ApiApplication - The following 1 profile is active: "dev"
2026-05-02 19:27:46.088 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-05-02 19:27:46.278 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 181 ms. Found 5 JPA repository interfaces.
2026-05-02 19:27:46.914 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-05-02 19:27:46.922 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-05-02 19:27:46.925 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-02 19:27:46.925 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
2026-05-02 19:27:46.994 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-05-02 19:27:46.995 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2093 ms
2026-05-02 19:27:47.149 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-05-02 19:27:47.226 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2026-05-02 19:27:47.270 INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-05-02 19:27:47.569 INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-05-02 19:27:47.601 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-05-02 19:27:50.110 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@603f4e3e
2026-05-02 19:27:50.112 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-05-02 19:27:51.642 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-05-02 19:27:54.589 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
